model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.output.dense.weight,0.001,0.06564430819775847,0.7724616508400293,1.0261537983312592,0.9683503795043977,0.009678597516435355,1.3570124178232286,1.0,0.2275383491599708,0.3933528122717312,0.379108838568298,0.020526010010102083
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.self.query.weight,0.001,0.07299930555881372,0.7639700511322133,1.035134642293814,0.9653303913190842,0.008035062089116142,1.3329072315558803,1.0,0.2360299488677867,0.40695763330898466,0.3570124178232286,0.02140315872003739
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.self.key.weight,0.001,0.08061134617010052,0.7506391526661796,1.0323040749040073,0.9614559920356901,0.01095690284879474,1.377100073046019,1.0,0.2493608473338203,0.3793827611395179,0.3712563915266618,0.02193022223218897
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.self.value.weight,0.001,0.022736717034398484,0.8622169466764061,1.0067704635872627,0.9887288451964326,0.005843681519357195,2.3887874360847334,2.0,0.13778305332359386,0.2668918918918919,0.5953250547845143,0.03304922389638554
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.output.dense.weight,0.001,0.020877547599293705,0.8697954711468225,1.0075913511988148,0.9896752601640388,0.006665449233016801,2.56281957633309,2.0,0.13020452885317751,0.24908692476260044,0.620708546384222,0.03600862676822065
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.intermediate.dense.weight,0.001,0.07143936035374583,0.760500365230095,1.0233338118319173,0.9653502318207452,0.01004382761139518,1.314737034331629,1.0,0.23949963476990505,0.40093133674214754,0.3595690284879474,0.02004741428136219
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.output.dense.weight,0.001,0.05703070099067925,0.7826880934989043,1.0237735706731073,0.972409244003139,0.012235208181154127,1.4761687363038714,1.0,0.2173119065010957,0.370891161431702,0.41179693206720236,0.02318168452847294
roberta-large,sst-5,int8,dense,roberta.encoder.layer.2.attention.self.query.weight,0.001,0.06562893610466096,0.7648831263696129,1.027273914127231,0.9684004375959289,0.01168736303871439,1.3970051132213295,1.0,0.23511687363038714,0.3781044558071585,0.38677867056245435,0.02062863573867458
roberta-large,sst-5,int8,dense,roberta.encoder.layer.2.attention.self.key.weight,0.001,0.07183955892582686,0.7615960555149744,1.032489027687618,0.9657243901901774,0.008765522279035792,1.4178232286340395,1.0,0.23840394448502555,0.36659970781592405,0.3949963476990504,0.02273135947825658
roberta-large,sst-5,int8,dense,roberta.encoder.layer.2.attention.self.value.weight,0.001,0.017917095537797523,0.87481738495252,1.0074185032511958,0.9911342503709362,0.004565376186997808,2.806610664718773,2.0,0.1251826150474799,0.2264426588750913,0.6483747260774287,0.03809226561548306
roberta-large,sst-5,int8,dense,roberta.encoder.layer.2.attention.output.dense.weight,0.001,0.016175161964301393,0.8963659605551497,1.00349167844504,0.9919469262740477,0.009952520087655223,3.602720964207451,3.0,0.10363403944485025,0.19950693937180425,0.6968590211833455,0.041437533531902056
roberta-large,sst-5,int8,dense,roberta.encoder.layer.2.intermediate.dense.weight,0.001,0.06427631623144689,0.7640613586559533,1.0296160733568214,0.9691933530611128,0.006574141709276844,1.3852264426588752,1.0,0.23593864134404674,0.38321767713659605,0.3808436815193572,0.020418061112965062
roberta-large,sst-5,int8,dense,roberta.encoder.layer.2.output.dense.weight,0.001,0.05097046843482377,0.795745069393718,1.0204078791239328,0.9752121810880962,0.008308984660336012,1.5456537618699782,1.0,0.20425493060628197,0.35984295105916725,0.4359021183345508,0.023855306892953797
roberta-large,sst-5,int8,dense,roberta.encoder.layer.3.attention.self.query.weight,0.001,0.05191140867422296,0.7861577794010226,1.0245137936317954,0.9749534117781502,0.005843681519357195,1.5875639152666179,1.0,0.21384222059897737,0.34614682249817386,0.4400109569028488,0.02405345596260182
roberta-large,sst-5,int8,dense,roberta.encoder.layer.3.attention.self.key.weight,0.001,0.05428176875222429,0.7942841490138788,1.0244256878953601,0.9737822034301473,0.01095690284879474,1.6132213294375457,1.0,0.20571585098612125,0.3564645726807889,0.4378195763330898,0.024147801359090837
roberta-large,sst-5,int8,dense,roberta.encoder.layer.3.attention.self.value.weight,0.001,0.028114423270331944,0.8474251278305333,1.0110989737628386,0.9861567770979298,0.01004382761139518,2.18681519357195,2.0,0.15257487216946677,0.28378378378378377,0.5636413440467495,0.030328601685350537
roberta-large,sst-5,int8,dense,roberta.encoder.layer.3.attention.output.dense.weight,0.001,0.02329953197735761,0.8696128560993426,1.0064471675732096,0.9884420130017904,0.012326515704894084,2.574324324324324,2.0,0.13038714390065742,0.2399561723886048,0.6296566837107378,0.0366716965923183
roberta-large,sst-5,int8,dense,roberta.encoder.layer.3.intermediate.dense.weight,0.001,0.06097268786606523,0.7730094959824689,1.0269225584141695,0.9706271462183729,0.005113221329437546,1.4630204528853177,1.0,0.22699050401753104,0.3683345507669832,0.40467494521548575,0.02185464169957029
roberta-large,sst-5,int8,dense,roberta.encoder.layer.3.output.dense.weight,0.001,0.05065113192702925,0.7927319211102994,1.0246787906932266,0.9755751867371025,0.005843681519357195,1.5406318480642804,1.0,0.2072680788897005,0.3683345507669832,0.4243973703433163,0.025058383449742785
roberta-large,sst-5,int8,dense,roberta.encoder.layer.4.attention.self.query.weight,0.001,0.0447924424448828,0.802136596055515,1.0174972982523023,0.9781325682157098,0.00739590942293645,1.6503834915997078,1.0,0.19786340394448504,0.33966398831263694,0.462472607742878,0.02433851863066711
roberta-large,sst-5,int8,dense,roberta.encoder.layer.4.attention.self.key.weight,0.001,0.04783078778721306,0.8068845872899927,1.0233341057360092,0.9768887828071583,0.005843681519357195,1.7058071585098613,1.0,0.19311541271000732,0.32989408327246167,0.47699050401753107,0.027288078382605135
roberta-large,sst-5,int8,dense,roberta.encoder.layer.4.attention.self.value.weight,0.001,0.026592043043890786,0.8432249817384952,1.0100647147544584,0.9869019097762305,0.007213294375456538,2.141709276844412,2.0,0.15677501826150475,0.2758400292184076,0.5673849525200877,0.030507417239501736
roberta-large,sst-5,int8,dense,roberta.encoder.layer.4.attention.output.dense.weight,0.001,0.021887922931652197,0.8697954711468225,1.0110328404697657,0.9892214729894612,0.0030131482834185536,2.5035609934258582,2.0,0.13020452885317751,0.24716946676406135,0.6226260043827612,0.03263819678977436
roberta-large,sst-5,int8,dense,roberta.encoder.layer.4.intermediate.dense.weight,0.001,0.05956624191203741,0.7622352081811541,1.022569928069041,0.971086226797822,0.007487216946676406,1.447772096420745,1.0,0.23776479181884588,0.3584733382030679,0.4037618699780862,0.022315967691519976
roberta-large,sst-5,int8,dense,roberta.encoder.layer.4.output.dense.weight,0.001,0.05074644520601038,0.7943754565376187,1.019135863136234,0.9752806226018792,0.010226442658875092,1.5947772096420745,1.0,0.2056245434623813,0.34550766983199416,0.44886778670562455,0.02573441065626925
