model,task,precision,mode,quantizer,h,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,num_sources
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.009,2.740830780790928,0.1734476387197215,,0.0708758214088536,1.0344507566741128,0.9477986680484124,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.01,2.91458262135243,0.014693007660520646,,0.07369582783994011,1.0239301194486212,0.9570196341772932,2
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0001,7.011304189518272,0.205415007970504,,0.0010995475655379,6.520029683274061,0.1267301135188359,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0002,4.077894346996859,-0.045266114203599,,0.0022227398447872,4.633314525196675,0.180554631958895,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0003,5.53045445940961,-0.0828248706540144,,0.003365019419989,3.799541157654194,0.2225560505042268,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0005,3.046693488118416,0.3159716402130177,,0.0057010538191244,2.9661299100761105,0.2905707371489595,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0007,3.79183767646246,0.1749266983616915,,0.0080931896142734,2.523461279982114,0.3470535747121305,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.00085,3.936835188863914,0.375333175991348,,0.0099200888902018,2.30036623972945,0.3848004434080514,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.001,5.23486822670131,0.0321382737444694,,0.0117711320917224,2.129808644160633,0.419699893104894,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0012,2.858156818285837,0.2157122962616392,,0.0142696182984897,1.9541479897604548,0.4627023655731408,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0015,2.025352811277725,0.4243411723189792,,0.018062427320375,1.7600556279347273,0.5213471782173744,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0018,3.53281398923704,0.4276366997129722,,0.0218684274888752,1.6176089651410754,0.5741480954485855,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.002,2.641752767799597,0.464909571034882,,0.0243860952090486,1.541961971555076,0.6064674901912108,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0025,1.4160068439925784,0.4717235757271948,,0.0304948659179887,1.3996321924172643,0.677601286672582,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.003,2.380001379752887,-0.09782696723134643,,0.03619451280334755,1.3025337577648286,0.7358103829328083,2
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0035,2.425688465708298,-0.10424051186275743,,0.0413391615832928,1.2352155407669727,0.7818769597967192,2
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.004,1.7161139860021526,-0.008233958947947095,,0.0459238916810004,1.1869411254056672,0.8181512135439581,2
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.0045,2.096202416484512,-0.4681241564048784,,0.0500073627775944,1.1509944675876835,0.8469397069214778,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.005,1.3383790358874434,-0.3167332944787975,,0.0535603013696281,1.1242217664167897,0.8692544021314252,2
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.007,2.508404624606711,-0.5516097759157756,,0.0642136723964303,1.0621830659320854,0.9234527203572992,1
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,0.01,3.766743020984868,-0.5135218095676516,,0.0736783951501264,1.0237911405801707,0.9572985254516112,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-08,15405.761351141056,-0.0523663582551566,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-08,1913.3651269098184,-0.0389790085555508,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-07,148.69815199810117,0.1951358939482436,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-07,17.530334048260798,0.3752107385891354,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-06,2.3620604432104964,0.5548855749473456,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-06,0.3511514340631564,0.8237307290024506,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-05,0.0319780858465769,0.9851269432352472,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-05,0.0037503815586886,0.9981143689012494,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.0001,0.0002808143648137,0.9998607634926614,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.0003,2.7760367326339903e-05,0.9999863273907994,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.001,0.0001051485729758,0.9999530096990374,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.003,0.0004101528853214,0.9998423172744314,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.01,0.020450994118633,0.9896688836781836,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.03,0.0483291729927483,0.9765125213634428,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.1,0.0868986276307009,0.9607780856646102,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.3,0.4438934099449533,0.7593985867489146,,,,,1
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1.0,4.638718927547118,-0.413521283180141,,,,,1
roberta-large,sst-5,fp16,dense,none_or_native,1e-05,,,,1.0,1.0000002589327206,0.999999997848377,1
roberta-large,sst-5,fp16,dense,none_or_native,0.0001,,,,1.0,0.9999999975279894,1.000000009594676,1
roberta-large,sst-5,fp16,dense,none_or_native,0.001,,,,1.0,0.9999999926652628,0.9999999918085412,1
roberta-large,sst-5,fp16,dense,none_or_native,0.003,,,,1.0,0.9999999970737988,0.9999999988965108,1
