d,Delta,G,L,n_dirs,h,A_true,envelope,rho_theory,rho_emp,vector_radius_error,V_dir,h_ref,W1_low,W1_high,W01_low,W01_high
1000,1e-05,10.0,0.1,256,0.003,0.022724120008749998,0.3810177677877654,0.0036207968919968934,0.000228635757592731,22.88643933503237,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,0.01,0.25179860588952097,4.028044990009988,0.04020037062937065,0.0025340455173599448,253.65795628773046,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,0.03,2.266994467310747,36.09202276778777,0.3618011067821069,0.022813933557899815,2283.6747491457713,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,0.1,25.190794880843846,400.82002024001014,4.020011990519483,0.2535076615107516,25376.116917226238,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,0.3,226.71996450259843,3607.220020017788,36.18010789238652,2.281597272446245,228387.88697186916,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,1.0,2519.110302355187,40080.02001999252,402.001198801224,25.351077566395087,2537642.8643961484,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,1.0,256,1e-08,111.81129428434984,25000000.200199906,250749.25074925082,1.1235440567995765,112466.76008563761,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,3e-08,111.81129428434984,2777777.9779776833,27861.027861027906,1.1235440567995765,112466.76008563761,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,1e-07,111.81129428434984,250000.2001999403,2507.49250749291,1.1235440567995765,112466.76008563761,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,3e-07,111.81129428434984,27777.97797803861,278.6102786138967,1.1235440567995765,112466.76008563761,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,1e-06,111.81129428434984,2500.200203908101,25.074925115125204,1.1235440567995765,112466.76008563761,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,3e-06,73.4882931630168,277.97801374987773,2.7861031479038654,0.7433541814918124,74409.75356733042,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,1e-05,8.459737864729348,25.20060070009988,0.25075327076123877,0.08525685252717402,8534.21093797012,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,3e-05,0.9334535907850671,2.9815848778776535,0.027897207968919976,0.00936910089005109,937.8469990941142,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,0.0001,0.08994795797523214,0.49027990009987527,0.002909493706293707,0.0009068863317922786,90.77932181240709,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
