group,model,dataset,seed,h3,m_T3,S3_sq,S3_rms,T3_abs_mean,T3_abs_median,rho3_q50,rho3_q90,rho3_q95,finite_rate,zero_T3_frac,sign_negative_frac,S3_sq_stability_2x,S3_sq_stability_next,rho3_q90_stability_2x,rho3_q90_stability_next,log_slope_S3_next,log_slope_rho_next,low_h3_noise_suspected,large_h3_nonlocal_suspected,source_output_dir
B_task,roberta-large,rte,16,0.01,16,44597582512.36211,211181.3971739985,165273.11131358144,140285.07471084592,1.702596368219859e-08,4.529983844491728e-08,4.898015075268198e-08,1.0,0.0,0.5625,nan,nan,nan,nan,nan,nan,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,1e-05,16,1.9800827644189658e+17,444981209.08853734,385567545.890808,461935997.0092772,5.606890258738088e-05,7.776753620996844e-05,8.047416341029558e-05,1.0,0.0,0.5625,nan,0.9725986148750376,nan,0.9198976268276098,3.274277697385746,2.2978532315407194,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,3e-05,16,5425701040714421.0,73659358.13401051,38287705.845303,19868214.925130207,2.4115540017262903e-06,6.229363286290644e-06,1.322945170748457e-05,1.0,0.0,0.5,nan,0.8523775460401667,nan,0.10490962193706749,1.5889870970614282,0.09205405996830208,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,0.0001,16,800955302082684.0,28301153.72352661,24255365.133285515,22158026.69525146,2.6894961763018494e-06,5.575843034107622e-06,5.753193830721979e-06,1.0,0.0,0.5,nan,0.9402143407867164,nan,0.7554118312012298,2.564134306823749,1.2817801521172887,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,0.0003,16,47885640735388.016,6919945.139622713,5642159.117592707,5767301.276878076,7.000579266195905e-07,1.3637844818099307e-06,1.5118046620039968e-06,1.0,0.0,0.25,nan,0.9763101575371855,nan,0.8660064683813016,3.1086324353260517,1.6694428183732064,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,0.001,16,1134403285252.272,1065083.6987074171,855686.143040657,997677.445411682,1.2110317660314363e-07,1.827374330780208e-07,2.0589621386169198e-07,1.0,0.0,0.3125,0.1793044476376698,0.32457973642204263,0.11600438493985384,0.23883484286460813,0.967827221867181,0.6730663446763518,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,0.0015,16,766198965928.7903,875327.9190844939,802324.8778449164,879208.246866862,1.067161605604927e-07,1.39093128128507e-07,1.4834193782263554e-07,1.0,0.0,0.4375,0.1438324318855256,0.215088733072346,0.2412796830636524,0.16137162450659295,0.6771958495737452,0.5200245543185279,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,0.002,16,930999730791.7554,964883.2731433142,817784.8067134619,855110.5856895447,1.0379025763315163e-07,1.6153897354393235e-07,1.9051100349426545e-07,1.0,0.0,0.4375,0.1667679887425233,0.05864287870289864,0.12997909111631734,0.06880490006031299,0.14904537443092022,0.16411056610388416,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,0.003,16,876403226506.5032,936164.1023381014,744659.0397093031,568760.2140285351,6.903564411522718e-08,1.7265371527936823e-07,2.2232357451670809e-07,1.0,0.0,0.4375,nan,0.2394530857054834,nan,0.05723606904548461,0.7462064652723877,0.19347059138867911,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,17,0.004,16,1086260683415.727,1042238.3045233595,846419.2214887589,631643.9248621464,7.666037844585009e-08,1.8253579248412663e-07,2.071011143411406e-07,1.0,0.0,0.5625,nan,0.014735683074710211,nan,0.14190406464422128,0.06652816836415484,0.5946714591679674,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
